"ID","target","X20aa07010","X963a49cdc","X68a945b18","X935ca66a9","X8.61E.26","X26fc93eb7","X0572565c2","X66ace2992","fb49e4212","X6619d81fc","aca228668","X6eef030c1","bc70cbc26","fc99f9426","X7e814a30d","bd6da0cca","X1db387535","b43a7cfd5","X024c577b9","ea772e115","ad009c8b9","X2ec5b290f","X0ff32eb98","X166008929","X58e056e12","X241f0f867","cbb673163","X1931ccfdd","f02ecb19c","X58e2e02e6","X1fe5d56b9","X9fd594eec","fb0f5dbfe","X91f701ba2","ca2b906e8","X703885424","f97d9431e","X939f628a7","X62fb56487","eeb9cd3aa","X324921c7b","X58232a6fb","c0d2348b7","X491b9ee45","c8d582dd2","d6bb78916","c10f31664","X4bcf15776","X70feb1494","adb64ff71","X11e12dbe8","X9de83dc23","X62e59a501","X15ace8c9f","X5c6487af1","bb0ce54e9","f190486d6","f74e8f13d","X5d3b81ef8","X77deffdf0","c5a231d81","e176a204a","X1702b5bf0","a09a238d0","X190db8488","c47340d97","X8781e4b91","ef30f6be5","X23310aa6f"
"0e8c830c4",1477600,247166.66,1563411.76,1775333.34,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1964666.66,0,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,115636.36,296444.44,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,550000,1563411.76,1775333.34,1563411.76,1775333.34,3147200,1775333.34,1600000,3076666.66,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,1775333.34,466461.54,1563411.76,540000,1775333.34,1563411.76,1775333.34,834800,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,440000,1563411.76,1775333.34,75000,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1015000,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"16a02e67a",2352551.72,1600000,1563411.76,1775333.34,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1015000,1563411.76,1964666.66,1586888.88,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,3076666.66,0,1775333.34,1775333.34,115636.36,1563411.76,1775333.34,466461.54,540000,1775333.34,1563411.76,1775333.34,310000,0,1477600,3147200,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,1775333.34,0,296444.44,550000,1775333.34,1563411.76,1775333.34,440000,1775333.34,158000,1563411.76,1563411.76,1775333.34,1775333.34,834800,75000,1563411.76,1775333.34,3513333.34,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,247166.66,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"18d789f9f",370000,380000,500000,1473333.34,92000,941600,12000000,1586888.88,307000,528666.66,3513333.34,0,1933333.34,0,0,1924000,400000,310000,267428.58,8120000,244000,747333.34,406000,0,0,0,609200,0,60000,1800000,950000,65000,2186000,450000,1477600,2465600,1359000,2460000,738571.42,0,35050000,0,60666.66,732000,280000,292000,1304800,0,0,5450500,3147200,0,7697500,448666.66,3244909.1,1878571.42,0,908000,814800,113600,0,1600000,160000,400000,2793333.34,75000,466461.54,9100000,240000,2352551.72
"1902ba327",1933333.34,0,2352551.72,400000,260000,194000,160000,440000,1359000,60000,3147200,800000,1304800,179000,1600000,609000,2460000,466461.54,609200,448666.66,292000,9100000,500000,834800,274000,400000,12000000,0,3513333.34,332000,0,0,8120000,60666.66,0,2793333.34,310000,0,350000,2465600,380000,814800,528666.66,941600,1477600,732000,406000,0,0,0,550000,92000,377333.34,1878571.42,267428.58,280000,7697500,450000,5450500,791200,1800000,296444.44,75000,307000,440000,3076666.66,247166.66,0,1924000,1586888.88
"1a6507f27",6376000,0,0,0,0,0,0,0,0,0,0,19360000,0,19360000,0,19360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,19360000,0,0,0,0,0,0,0,0,19360000,0
"1b9611c35",72666.66,88000,338000,444000,444000,444000,338000,338000,338000,338000,338000,0,138000,0,338000,0,444000,338000,50000,0,444000,444000,338000,338000,444000,472000,133333.34,444000,338000,444000,0,444000,30000,113000,338000,444000,338000,444000,0,444000,0,0,0,444000,338000,444000,102000,444000,206000,338000,338000,444000,444000,186666.66,467333.34,338000,444000,128500,338000,0,444000,338000,338000,0,444000,338000,338000,444000,0,338000
"1d5579a73",950000,267428.58,1359000,0,1800000,440000,5450500,466461.54,500000,1878571.42,1477600,792750,0,609000,75000,0,0,1586888.88,0,60666.66,0,0,307000,550000,377333.34,1304800,814800,400000,280000,260000,1933333.34,1473333.34,450000,8120000,3147200,732000,2352551.72,7697500,0,292000,3244909.1,609200,448666.66,2793333.34,3513333.34,2465600,400000,9100000,244000,160000,0,0,0,528666.66,380000,60000,2460000,2186000,12000000,600000,92000,3076666.66,0,406000,941600,1600000,440000,0,4000000,310000
"1df3ca92e",296444.44,1563411.76,1563411.76,1775333.34,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1964666.66,1563411.76,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,540000,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,1775333.34,1015000,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,115636.36,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"1e6b7b391",4870000,430000,400000,66000,9100000,2465600,0,1359000,1304800,8120000,1878571.42,2140000,16733333.34,240000,12000000,791200,65000,500000,35050000,908000,194000,290800,0,3513333.34,0,370000,380000,0,448666.66,0,356000,23600000,922000,374000,60000,244000,406000,0,1338000,400000,2300000,3244909.1,2186000,0,528666.66,0,950000,0,0,609200,280000,747333.34,400000,450000,4900000,60666.66,1473333.34,0,267428.58,346444.44,0,160000,814800,1933333.34,292000,5450500,2352551.72,715000,113600,307000
"20768e427",50000,338000,338000,444000,444000,444000,338000,338000,338000,338000,338000,0,133333.34,0,338000,0,444000,338000,338000,338000,444000,444000,338000,338000,444000,338000,338000,444000,338000,444000,0,444000,338000,338000,338000,444000,338000,444000,0,444000,186666.66,338000,338000,444000,338000,444000,338000,444000,444000,338000,338000,444000,444000,338000,338000,338000,444000,0,338000,0,444000,338000,338000,338000,444000,338000,338000,444000,0,338000
"24204cd10",550000,1563411.76,1563411.76,1775333.34,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1964666.66,1015000,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,834800,1775333.34,540000,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,1775333.34,115636.36,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,296444.44,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"242407fc6",11115200,2300000,0,0,747333.34,0,380000,307000,1933333.34,2186000,448666.66,1025333.34,4870000,600000,609200,113600,66000,406000,4900000,922000,1000000,6532000,950000,60000,0,356000,35050000,23600000,8120000,0,400000,4936000,600000,0,528666.66,400000,1304800,65000,281000,0,0,430000,374000,0,60666.66,194000,16733333.34,0,1800000,267428.58,1878571.42,0,1473333.34,908000,1838333.34,450000,0,707000,3244909.1,1771818.18,715000,12000000,0,370000,244000,814800,500000,290800,0,400000
"2514ad945",380000,528666.66,0,732000,274000,0,1477600,296444.44,160000,2352551.72,440000,1964666.66,0,273000,550000,800000,941600,3076666.66,1878571.42,307000,0,0,5450500,1563411.76,1775333.34,609200,280000,2793333.34,1586888.88,0,267428.58,2465600,400000,406000,247166.66,1800000,75000,194000,179000,0,60666.66,60000,500000,260000,466461.54,92000,814800,2460000,9100000,3147200,115636.36,0,158000,1359000,448666.66,310000,440000,1304800,3513333.34,2140000,377333.34,1015000,0,12000000,332000,834800,540000,7697500,0,1600000
"264ea7fa7",10400000,300000,747473.68,1330000,1330000,1330000,747473.68,747473.68,747473.68,747473.68,747473.68,3574000,0,3574000,747473.68,3574000,1330000,747473.68,0,0,1330000,1330000,747473.68,747473.68,1330000,0,747473.68,1330000,747473.68,1330000,0,1330000,0,416666.66,747473.68,1330000,747473.68,1330000,3574000,1330000,184000,747473.68,0,1330000,747473.68,1330000,200000,1330000,1330000,747473.68,747473.68,1330000,1330000,747473.68,0,747473.68,1330000,0,747473.68,3574000,1330000,747473.68,747473.68,747473.68,1330000,747473.68,747473.68,1330000,3574000,747473.68
"26b4eaa5f",416666.66,747473.68,747473.68,1330000,1330000,1330000,747473.68,747473.68,747473.68,747473.68,747473.68,3574000,0,3574000,747473.68,3574000,1330000,747473.68,747473.68,747473.68,1330000,1330000,747473.68,747473.68,1330000,747473.68,747473.68,1330000,747473.68,1330000,0,1330000,0,747473.68,747473.68,1330000,747473.68,1330000,3574000,1330000,200000,747473.68,747473.68,1330000,747473.68,1330000,747473.68,1330000,1330000,747473.68,747473.68,1330000,1330000,747473.68,747473.68,747473.68,1330000,300000,747473.68,3574000,1330000,747473.68,747473.68,747473.68,1330000,747473.68,747473.68,1330000,3574000,747473.68
"2add40483",102000,338000,338000,444000,444000,444000,338000,338000,338000,338000,338000,0,338000,0,338000,0,444000,338000,338000,338000,444000,444000,338000,338000,444000,338000,338000,444000,338000,444000,0,444000,186666.66,338000,338000,444000,338000,444000,0,444000,0,338000,338000,444000,338000,444000,338000,444000,444000,338000,338000,444000,444000,338000,133333.34,338000,444000,0,338000,0,444000,338000,338000,338000,444000,338000,338000,444000,0,338000
"2c518cd87",23985000,11115200,374000,4900000,194000,66000,370000,8120000,922000,2300000,3244909.1,0,40000,0,0,57714.28,0,450000,400000,547000,1800000,0,0,0,0,2253333.34,356000,1200000,430000,400000,2090000,4000000,25100000,25300000,380000,4936000,908000,0,332000,244000,22134000,4870000,0,0,35050000,0,707000,0,0,950000,267428.58,1000000,290800,1838333.34,819750,4900000,6532000,3252500,16733333.34,532000,0,400000,1933333.34,600000,23600000,1304800,60666.66,1800000,100000,2186000
"2e57ec99f",307000,160000,247166.66,377333.34,1775333.34,1775333.34,296444.44,1563411.76,440000,0,1563411.76,1964666.66,1359000,1964666.66,1563411.76,1964666.66,0,1563411.76,0,3513333.34,440000,260000,466461.54,1563411.76,1775333.34,2352551.72,1600000,274000,834800,1775333.34,500000,0,60000,280000,1563411.76,1775333.34,115636.36,1775333.34,1964666.66,194000,12000000,75000,1477600,1775333.34,1015000,158000,310000,332000,941600,540000,1563411.76,1775333.34,1775333.34,3147200,5450500,550000,1775333.34,1878571.42,3076666.66,609000,1775333.34,1563411.76,1563411.76,1586888.88,1775333.34,1563411.76,1563411.76,0,1964666.66,1563411.76
"2e6e6851e",2186000,400000,280000,9100000,440000,377333.34,2352551.72,0,60000,12000000,75000,179000,8120000,120400,466461.54,350000,0,3147200,406000,0,0,292000,1878571.42,296444.44,332000,60666.66,500000,0,160000,194000,450000,0,380000,267428.58,1600000,2460000,3513333.34,1800000,0,400000,0,307000,609200,7697500,0,0,448666.66,2465600,1473333.34,310000,3076666.66,2793333.34,260000,814800,1304800,5450500,92000,3244909.1,1359000,1338000,941600,247166.66,1586888.88,528666.66,0,440000,550000,732000,738571.42,1477600
"2e8ee92a7",1586888.88,296444.44,1563411.76,1775333.34,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1964666.66,440000,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,540000,834800,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,247166.66,1563411.76,1775333.34,1563411.76,1775333.34,466461.54,1775333.34,0,550000,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,1775333.34,1600000,1563411.76,1015000,1775333.34,1563411.76,1775333.34,115636.36,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,3076666.66,1563411.76,1775333.34,3147200,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"2f0f7fc19",12000000,500000,0,0,0,0,0,0,0,0,0,19360000,0,19360000,0,19360000,0,0,0,0,0,0,0,0,0,32266666.66,0,0,0,0,17000000,0,800000,6376000,0,0,0,0,19360000,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,4133333.34,0,0,0,0,19360000,0,0,0,0,0,0,0,0,19360000,0
"32a1b713c",17000000,0,0,0,0,0,0,0,0,0,0,19360000,32266666.66,19360000,0,19360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6376000,0,0,0,0,0,19360000,0,4133333.34,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,800000,0,19360000,0,0,0,0,0,0,0,0,19360000,0
"35dcc0108",1304800,814800,1586888.88,2460000,0,1775333.34,75000,115636.36,310000,3513333.34,550000,1964666.66,406000,1964666.66,296444.44,210000,0,247166.66,12000000,1878571.42,732000,0,2352551.72,1563411.76,1775333.34,307000,160000,7697500,3147200,1775333.34,400000,0,448666.66,528666.66,834800,440000,466461.54,274000,168000,2793333.34,0,5450500,60000,194000,0,941600,500000,92000,2465600,1600000,1015000,260000,0,280000,609200,1477600,377333.34,60666.66,0,4000000,332000,1563411.76,3076666.66,1359000,158000,540000,1563411.76,1800000,609000,440000
"36ec31a95",1859333.34,11973333.34,23985000,500000,0,0,30000000,707000,1448888.88,14145000,25300000,1359000,42000,380000,11115200,0,25100000,2253333.34,10491200,5352666.66,880000,0,3420000,1838333.34,4400000,3056888.88,8260400,4400000,3252500,9600000,3862000,24200000,1554666.66,10814666.66,547000,0,2090000,140000,831000,6880000,4005500,2286500,16818666.66,1100000,25100000,2090000,3012000,30000000,3420000,22134000,0,1109500,0,147090.9,282333.34,450000,25300000,111791333.3,2190000,2530000,600000,4870000,819750,0,0,400000,600000,26400000,236857.14,40000
"38e7f19a2",9000000,350000,350000,300000,300000,300000,350000,350000,350000,350000,350000,685000,17000000,685000,350000,685000,300000,350000,350000,350000,300000,300000,350000,350000,300000,0,350000,300000,350000,300000,200000,300000,0,4000000,350000,300000,350000,300000,685000,300000,0,350000,350000,300000,350000,300000,350000,300000,300000,350000,350000,300000,300000,350000,5700000,350000,300000,0,350000,685000,300000,350000,350000,350000,300000,350000,350000,300000,685000,350000
"3a90a8061",2800000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000,8891333.34,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,556000,17020000,0,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000,0,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,0,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000
"3dcfa3171",12666666.66,0,747473.68,1330000,1330000,1330000,747473.68,747473.68,747473.68,747473.68,747473.68,3574000,0,3574000,747473.68,3574000,1330000,747473.68,200000,300000,1330000,1330000,747473.68,747473.68,1330000,416666.66,747473.68,1330000,747473.68,1330000,0,1330000,184000,0,747473.68,1330000,747473.68,1330000,3574000,1330000,0,747473.68,0,1330000,747473.68,1330000,0,1330000,1330000,747473.68,747473.68,1330000,1330000,747473.68,0,747473.68,1330000,0,747473.68,3574000,1330000,747473.68,747473.68,0,1330000,747473.68,747473.68,1330000,3574000,747473.68
"3f3776111",556000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000,8891333.34,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,0,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000
"3f48ded44",16818666.66,23985000,0,0,0,0,600000,430000,547000,11115200,16733333.34,100000,14145000,653333.34,374000,955500,0,4900000,2090000,30000000,140000,0,25300000,1933333.34,1000000,450000,2253333.34,9600000,4870000,4936000,147090.9,600000,8260400,2190000,370000,4000000,1838333.34,0,404000,0,3420000,40000,22134000,4900000,356000,4400000,3252500,0,25300000,0,950000,1800000,1800000,819750,1448888.88,400000,0,2286500,707000,831000,244000,2186000,922000,25100000,1200000,908000,35050000,0,565142.86,2300000
"3f5e85beb",206000,0,338000,444000,444000,444000,338000,338000,338000,338000,338000,0,467333.34,0,338000,0,444000,338000,0,102000,444000,444000,133333.34,338000,444000,88000,338000,444000,338000,444000,0,444000,138000,472000,338000,444000,338000,444000,0,444000,30000,186666.66,0,444000,338000,444000,50000,444000,50000,338000,338000,444000,444000,338000,113000,338000,444000,0,338000,0,444000,338000,338000,0,444000,338000,338000,444000,0,338000
"414871b56",30000000,547000,370000,244000,290800,400000,430000,1304800,16733333.34,922000,450000,514666.66,819750,0,380000,346444.44,4936000,0,0,707000,0,4900000,356000,448666.66,0,11115200,2300000,0,908000,0,22134000,1800000,40000,2253333.34,8120000,1000000,950000,23600000,57714.28,0,25100000,1838333.34,600000,0,2186000,1800000,400000,1200000,0,35050000,60666.66,6532000,66000,0,25300000,374000,0,2090000,4900000,384000,0,0,3244909.1,4870000,194000,267428.58,400000,0,1771818.18,1933333.34
"448efbb28",1878571.42,310000,834800,332000,1775333.34,1775333.34,115636.36,1563411.76,550000,3076666.66,1563411.76,1964666.66,280000,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,1586888.88,0,377333.34,194000,0,1563411.76,1775333.34,3513333.34,440000,0,540000,1775333.34,60000,260000,5450500,160000,1563411.76,1775333.34,1015000,1775333.34,1964666.66,274000,1359000,466461.54,75000,1775333.34,1563411.76,0,1477600,158000,0,1563411.76,1563411.76,1775333.34,1775333.34,1600000,2352551.72,296444.44,1775333.34,12000000,247166.66,120400,1775333.34,1563411.76,1563411.76,3147200,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"44e8be38e",138000,0,338000,444000,444000,444000,338000,338000,338000,338000,338000,0,102000,0,338000,0,444000,338000,133333.34,186666.66,444000,444000,338000,338000,444000,0,338000,444000,338000,444000,472000,444000,0,0,338000,444000,338000,444000,0,444000,88000,338000,338000,444000,338000,444000,338000,444000,444000,338000,338000,444000,444000,338000,50000,338000,444000,113000,338000,0,444000,338000,338000,338000,444000,338000,338000,444000,0,338000
"4618a456e",282333.34,147090.9,819750,0,4000000,0,25300000,356000,22134000,2090000,600000,2515000,10491200,384000,1838333.34,0,0,4870000,14145000,3420000,26400000,25100000,30000000,374000,244000,2286500,3252500,1100000,2253333.34,4900000,11973333.34,2090000,3012000,0,0,0,11115200,0,1432000,1109500,5352666.66,450000,1448888.88,9600000,707000,600000,8260400,25300000,30000000,547000,922000,0,1800000,23985000,16818666.66,40000,0,3056888.88,25100000,160000,4400000,4900000,0,2190000,0,2300000,16733333.34,140000,500000,400000
"4a5425356",1600000,1015000,1563411.76,1775333.34,1775333.34,1775333.34,1563411.76,1563411.76,1563411.76,1563411.76,1563411.76,1964666.66,296444.44,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,540000,1563411.76,1775333.34,1563411.76,1775333.34,3076666.66,1775333.34,247166.66,115636.36,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,1775333.34,550000,1563411.76,1563411.76,1775333.34,1563411.76,1775333.34,1563411.76,1775333.34,1775333.34,1563411.76,1563411.76,1775333.34,1775333.34,1563411.76,834800,1563411.76,1775333.34,440000,1563411.76,1964666.66,1775333.34,1563411.76,1563411.76,1563411.76,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"4c0316d32",3252500,707000,430000,0,66000,0,908000,267428.58,4900000,16733333.34,0,0,25300000,514666.66,8120000,62000,1000000,380000,600000,400000,4900000,244000,2300000,406000,0,547000,922000,1800000,950000,0,25100000,0,819750,11115200,1304800,6532000,35050000,194000,346444.44,1200000,40000,0,4870000,0,1933333.34,0,0,0,4000000,2186000,400000,0,400000,356000,2253333.34,370000,0,22134000,374000,2515000,23600000,448666.66,450000,1838333.34,290800,60666.66,0,4936000,380000,3244909.1
